Frame,Timestamp,ValidPixelsOrig(%),ValidPixelsEnh(%),ValidIncrease(%),HolesOrig,HolesEnh,HolesFilled,MeanDepthOrig,MeanDepthEnh,StdOrig,StdEnh,NoiseReduction(%),EdgeStdOrig,EdgeStdEnh,ProcessingTime(ms),TrackedFeatures,TrackingState
504,1754835691.1834,94.6696,99.4749,4.8053,16375,1613,14762,0.3912,0.3882,0.1013,0.0956,5.6043,0.0904,0.0877,113.1577,1200,OK
506,1754835691.2834,95.4922,99.4300,3.9378,13848,1739,12109,0.3935,0.3907,0.1025,0.0971,5.2423,0.0917,0.0894,114.2883,1195,OK
508,1754835691.4166,95.8291,99.6755,3.8464,12813,995,11818,0.3981,0.3958,0.1051,0.1002,4.6790,0.0928,0.0897,117.7763,1210,OK
510,1754835691.5499,95.4144,99.7171,4.3027,14087,855,13232,0.4004,0.3985,0.1064,0.1019,4.2002,0.0950,0.0933,114.1129,1208,OK
512,1754835691.6831,96.2256,99.4740,3.2484,11595,1610,9985,0.4025,0.4005,0.1076,0.1036,3.6833,0.0960,0.0944,112.4486,1183,OK
514,1754835691.8164,96.1794,99.8962,3.7168,11737,319,11418,0.4040,0.4020,0.1084,0.1040,4.0696,0.0995,0.0977,113.5889,1182,OK
516,1754835691.9496,96.2894,99.7406,3.4512,11399,789,10610,0.4044,0.4023,0.1086,0.1046,3.6669,0.1024,0.0993,114.9135,1206,OK
518,1754835692.0829,96.0592,99.7900,3.7308,12106,642,11464,0.4037,0.4022,0.1086,0.1047,3.6029,0.1001,0.0983,112.2144,1198,OK
520,1754835692.2162,96.1826,99.7510,3.5684,11727,756,10971,0.4044,0.4027,0.1091,0.1050,3.7668,0.1040,0.0998,112.6987,1199,OK
522,1754835692.3495,95.9180,99.6055,3.6875,12540,1210,11330,0.4057,0.4049,0.1104,0.1066,3.4769,0.0998,0.0980,115.6808,1206,OK
524,1754835692.4828,97.3291,99.8317,2.5026,8205,510,7695,0.4100,0.4085,0.1125,0.1090,3.0912,0.1084,0.1058,115.4723,1191,OK
526,1754835692.6161,96.7018,99.7454,3.0436,10132,782,9350,0.4122,0.4100,0.1191,0.1116,6.2902,0.1079,0.1057,115.5196,1206,OK
528,1754835692.7494,94.2630,98.8304,4.5674,17624,3593,14031,0.4367,0.4237,0.1744,0.1259,27.8055,0.1265,0.1184,114.1630,1175,OK
530,1754835692.8826,91.6592,98.8496,7.1904,25623,3534,22089,0.4949,0.7085,0.2413,0.3604,-49.3382,0.2126,0.3231,111.1614,1172,OK
534,1754835693.0493,90.4801,99.7770,9.2969,29245,685,28560,0.5954,0.5155,0.3195,0.2002,37.3525,0.2844,0.1794,103.9139,1170,OK
536,1754835693.1492,88.6100,99.5830,10.9730,34990,1281,33709,0.6460,0.8800,0.3553,0.3231,9.0742,0.2855,0.2989,106.1879,1164,OK
538,1754835693.2825,88.5908,99.6038,11.0130,35049,1217,33832,0.6973,0.9232,0.4010,0.3431,14.4288,0.3190,0.3260,99.3715,1115,OK
540,1754835693.3825,90.7230,99.8457,9.1227,28499,474,28025,0.7117,0.5016,0.3956,0.1818,54.0449,0.3478,0.1785,101.4933,1044,OK
542,1754835693.5158,89.7715,99.6702,9.8988,31422,1013,30409,0.7999,0.5446,0.4459,0.1920,56.9323,0.3757,0.1074,98.2431,989,OK
546,1754835693.6491,89.2064,99.3971,10.1908,33158,1852,31306,0.8205,0.5834,0.4492,0.1977,55.9876,0.3702,0.1377,92.7892,949,OK
548,1754835693.7491,89.5602,98.9788,9.4186,32071,3137,28934,0.8270,0.5843,0.4565,0.1971,56.8148,0.3824,0.1359,90.6702,998,OK
550,1754835693.8490,90.7298,99.2725,8.5426,28478,2235,26243,0.8328,0.6221,0.4567,0.2124,53.4996,0.3176,0.1358,98.4045,1011,OK
552,1754835693.9823,87.8574,99.0570,11.1995,37302,2897,34405,0.9185,0.6457,0.4922,0.2096,57.4123,0.3247,0.1413,101.8022,913,OK
554,1754835694.0824,90.9984,99.7503,8.7520,27653,767,26886,1.0147,1.0821,0.5101,0.1960,61.5723,0.3047,0.2202,88.1578,971,OK
558,1754835694.2158,90.5771,99.5801,9.0029,28947,1290,27657,1.1076,0.7868,0.4932,0.3161,35.9086,0.4143,0.2618,85.3583,954,OK
560,1754835694.3158,89.7848,99.4404,9.6556,31381,1719,29662,1.1745,0.8093,0.4815,0.3068,36.2806,0.3952,0.2186,87.2419,900,OK
562,1754835694.4159,91.4648,99.2100,7.7451,26215,2422,23793,1.2250,1.2263,0.5108,0.3267,36.0378,0.4226,0.2816,75.0075,915,OK
564,1754835694.5159,92.7103,99.8190,7.1087,22394,556,21838,1.2557,1.2747,0.4863,0.2943,39.4780,0.4632,0.3041,87.9323,949,OK
566,1754835694.6160,92.1283,99.6937,7.5654,24182,941,23241,1.2508,1.2673,0.4732,0.2920,38.3002,0.4445,0.3075,80.0447,975,OK
568,1754835694.7160,91.3636,99.7773,8.4137,26531,684,25847,1.2704,1.2780,0.4998,0.3250,34.9779,0.4593,0.3086,81.6562,951,OK
570,1754835694.8160,92.0166,99.7799,7.7633,24525,676,23849,1.2647,1.2759,0.4872,0.3083,36.7190,0.4577,0.3069,82.7126,960,OK
572,1754835694.9161,92.5446,99.8226,7.2780,22897,539,22358,1.2662,1.2802,0.5039,0.3267,35.1772,0.4639,0.2965,82.4401,951,OK
574,1754835695.0161,92.3395,99.7259,7.3864,23533,842,22691,1.2608,1.2718,0.4765,0.2955,37.9878,0.4585,0.3029,81.8277,965,OK
576,1754835695.1162,92.2611,99.7083,7.4473,23774,896,22878,1.2659,1.2716,0.4755,0.2973,37.4701,0.4309,0.2956,79.8325,973,OK
578,1754835695.2162,92.7025,99.5368,6.8343,22418,1423,20995,1.2711,1.2704,0.4831,0.3074,36.3690,0.4467,0.3019,79.7059,970,OK
580,1754835695.3162,93.2799,99.7643,6.4844,20644,724,19920,1.2625,1.2702,0.4750,0.2957,37.7399,0.4415,0.3043,77.9898,925,OK
582,1754835695.3828,92.9150,99.6989,6.7839,21765,925,20840,1.2644,1.2360,0.4725,0.3076,34.8884,0.4463,0.3182,81.1641,950,OK
584,1754835695.4828,92.8346,99.2100,6.3753,22012,2427,19585,1.2668,1.0947,0.4802,0.3796,20.9321,0.4742,0.3574,76.7844,945,OK
586,1754835695.5828,92.8320,99.1204,6.2884,22020,2702,19318,1.2680,1.1020,0.4711,0.3688,21.7292,0.4326,0.3337,79.5632,953,OK
588,1754835695.6827,92.8112,99.1657,6.3545,22084,2563,19521,1.2818,1.4392,0.4878,0.3543,27.3585,0.4304,0.3607,75.8984,934,OK
590,1754835695.7827,92.9779,99.5882,6.6104,21572,1265,20307,1.2933,1.5274,0.4642,0.4112,11.4259,0.4555,0.4493,77.9904,965,OK
592,1754835695.8493,93.3900,99.6188,6.2288,20306,1171,19135,1.2888,1.5287,0.4708,0.4180,11.2259,0.4539,0.4535,74.5431,957,OK
594,1754835695.9493,93.1318,99.5785,6.4466,21099,1295,19804,1.2893,1.5247,0.4654,0.4093,12.0656,0.4370,0.4397,78.2831,928,OK
596,1754835696.0493,93.3255,99.6032,6.2777,20504,1219,19285,1.2872,1.5258,0.4672,0.4059,13.1221,0.4596,0.4420,76.6430,941,OK
598,1754835696.1492,92.9665,99.5729,6.6064,21607,1312,20295,1.2931,1.5267,0.4676,0.4074,12.8736,0.4456,0.4431,76.0952,924,OK
600,1754835696.2492,93.3555,99.6133,6.2578,20412,1188,19224,1.3139,1.6126,0.4607,0.3574,22.4159,0.4121,0.4329,78.0744,835,OK
602,1754835696.3159,94.2972,99.5846,5.2874,17519,1276,16243,1.3443,1.5348,0.4536,0.3783,16.6085,0.4215,0.4404,74.6450,608,OK
604,1754835696.4158,96.0384,99.6872,3.6488,12170,961,11209,1.4143,1.2459,0.4266,0.3982,6.6651,0.4417,0.4158,75.4521,618,OK
606,1754835696.5158,96.7865,99.8786,3.0921,9872,373,9499,1.4870,1.3967,0.4346,0.3584,17.5219,0.5491,0.4739,60.3066,430,OK
608,1754835696.5825,96.8138,98.8861,2.0723,9788,3422,6366,1.5510,1.4159,0.4765,0.4345,8.8305,0.6741,0.6260,60.3685,554,OK
610,1754835696.6491,97.0339,99.2549,2.2210,9112,2289,6823,1.5668,1.4677,0.4787,0.3475,27.3935,0.7227,0.3822,46.5006,598,OK
612,1754835696.7157,97.2386,99.2360,1.9974,8483,2347,6136,1.5890,1.4823,0.5085,0.3471,31.7378,0.7664,0.3692,45.5927,568,OK
614,1754835696.7824,97.2341,99.3105,2.0765,8497,2118,6379,1.5975,1.5495,0.5024,0.4855,3.3571,0.7788,0.8235,47.4451,567,OK
616,1754835696.8490,97.5257,99.2158,1.6901,7601,2409,5192,1.6126,1.5716,0.5088,0.5314,-4.4506,0.8226,0.9124,47.7868,579,OK
618,1754835696.9157,97.5189,99.4889,1.9700,7622,1570,6052,1.6352,1.8311,0.5351,0.5286,1.2173,0.7968,0.8790,47.2559,554,OK
620,1754835696.9490,97.4141,99.2269,1.8128,7944,2375,5569,1.6339,1.6064,0.5113,0.6771,-32.4474,0.7925,1.0477,45.8107,576,OK
622,1754835697.0156,97.6387,99.3916,1.7529,7254,1869,5385,1.6548,1.6108,0.5334,0.6762,-26.7755,0.8278,1.0589,44.1010,571,OK
624,1754835697.0823,97.7044,99.2816,1.5771,7052,2207,4845,1.6723,1.6889,0.5578,0.6987,-25.2598,0.8549,1.0426,44.1755,610,OK
626,1754835697.1489,97.5400,99.3870,1.8470,7557,1883,5674,1.6526,1.6835,0.5204,0.6888,-32.3629,0.8353,1.0365,46.2085,561,OK
628,1754835697.1822,97.8848,99.3486,1.4639,6498,1994,4504,1.6693,1.6873,0.5433,0.6899,-26.9823,0.8476,1.0437,46.5875,566,OK
630,1754835697.2489,97.4059,99.3958,1.9899,7969,1856,6113,1.6722,1.6979,0.5371,0.6987,-30.0801,0.8754,1.0597,48.3981,611,OK
632,1754835697.3155,97.7988,99.4671,1.6683,6762,1637,5125,1.6898,1.7036,0.5573,0.6969,-25.0342,0.8746,1.0589,49.9417,625,OK
634,1754835697.3821,97.5394,99.4199,1.8805,7559,1778,5781,1.6763,1.6946,0.5473,0.6965,-27.2645,0.8903,1.0577,48.5827,645,OK
636,1754835697.4488,97.8034,99.5309,1.7275,6748,1437,5311,1.6796,1.7018,0.5374,0.6967,-29.6425,0.8610,1.0631,47.1871,589,OK
638,1754835697.5154,97.4548,99.3812,1.9264,7819,1901,5918,1.6907,1.7060,0.5612,0.6990,-24.5531,0.8882,1.0726,47.8062,609,OK
640,1754835697.5821,97.5882,99.6361,2.0478,7409,1118,6291,1.6991,2.1534,0.5528,0.9024,-63.2435,0.8738,1.0560,44.5432,660,OK
642,1754835697.6154,97.6283,99.5651,1.9369,7286,1336,5950,1.7168,1.5395,0.5906,0.3683,37.6441,0.9143,0.3459,48.5877,633,OK
644,1754835697.6820,97.2884,99.5703,2.2819,8330,1320,7010,1.7188,1.7508,0.5658,0.7651,-35.2206,0.8950,1.0887,47.5551,585,OK
646,1754835697.7487,97.4157,99.6387,2.2230,7939,1110,6829,1.7339,1.7915,0.5687,0.7197,-26.5388,0.8922,1.0557,44.2146,641,OK
